loan_id,n_inst,n_obs,on_time_rate,early_rate,late_rate,mean_delay,exposure,max_delay,first_delinq_k,first_delinq_frac,return_to_current_k,re_delinq_k,ever_delinq,n_unpaid,year,status,outcome,plan_len,purpose_len,amount,duration,rate,gender,age,job,income,expend,disposable,past_ordinary,past_early,past_late,past_overdue,past_loss,in_sample,inc17,exp17,disp17,capacity,amt_won,dur_m,req_pay,req_avg,pcg_abs,pcg_ratio,pcg_over,pcg_abs_avg
B101115-4,15,15,0.8,0.7333,0.2,0.4,6,4,4.0,0.267,5.0,8.0,1,0,2010,정상종료,완납,1021,1329,300만원,15개월,0.3,남자,세,기타,,,,,,,,,1,,,,,3000000.0,15.0,275000.0,240000.0,,,,
B101116-4,9,9,1.0,0.4444,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,245,728,150만원,9개월,0.3,여자,세,기타,,,,32.0,14.0,14.0,1.0,0.0,1,,,,,1500000.0,9.0,204166.66666666663,187500.0,,,,
B101203-4,16,16,0.875,0.375,0.125,0.25,4,3,13.0,0.812,15.0,,1,0,2010,정상종료,완납,1089,1568,300만원,18개월,0.3,여자,세,기타,,,,30.0,14.0,9.0,1.0,0.0,1,,,,,3000000.0,18.0,241666.66666666663,206250.0,,,,
B101205-4,12,12,0.4167,0.1667,0.5833,4.75,57,10,6.0,0.5,,,1,0,2010,정상종료,완납,605,737,250만원,12개월,0.3,여자,세,기타,,,,10.0,4.0,8.0,0.0,0.0,1,,,,,2500000.0,12.0,270833.3333333334,242187.5,,,,
B101209-4,10,10,0.9,0.7,0.1,0.2,2,2,8.0,0.8,9.0,,1,0,2010,정상종료,완납,307,998,100만원,12개월,0.3,남자,세,기타,,,,24.0,17.0,11.0,0.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B101216-4,12,12,0.4167,0.25,0.5833,1.417,17,6,2.0,0.167,3.0,5.0,1,0,2010,정상종료,완납,457,1173,200만원,12개월,0.3,남자,세,기타,,,,9.0,7.0,14.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B081208-5,8,8,1.0,0.875,0.0,0.0,0,0,,,,,0,0,2008,정상종료,완납,906,572,100만원,9개월,0.3,남자,세,기타,,,,62.0,61.0,4.0,0.0,0.0,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,
B090117-5,12,12,0.5,0.5,0.5,10.75,129,30,7.0,0.583,,,1,0,2009,정상종료,완납,264,882,100만원,12개월,0.3,남자,세,기타,,,,13.0,13.0,9.0,1.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B090118-5,9,9,0.7778,0.5556,0.2222,0.556,5,4,2.0,0.222,3.0,5.0,1,0,2009,정상종료,완납,266,735,100만원,9개월,0.3,여자,세,기타,,,,39.0,22.0,11.0,0.0,0.0,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,
B090129-5,4,4,0.75,0.25,0.25,0.5,2,2,3.0,0.75,4.0,,1,0,2009,정상종료,완납,269,467,100만원,12개월,0.3,남자,세,기타,,,,,,,,,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B090203-5,12,12,1.0,0.8333,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,339,335,100만원,12개월,0.25,남자,세,기타,,,,92.0,45.0,4.0,0.0,0.0,1,,,,,1000000.0,12.0,104166.66666666666,94618.05555555556,,,,
B090218-5,12,12,1.0,0.5833,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,609,1761,200만원,12개월,0.3,여자,세,기타,,,,17.0,8.0,10.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B090317-5,10,10,0.3,0.3,0.7,10.0,100,29,1.0,0.1,4.0,5.0,1,0,2009,정상종료,완납,497,670,300만원,12개월,0.3,여자,세,기타,,,,,,,,,1,,,,,3000000.0,12.0,325000.0,290625.0,,,,
